0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:20:00 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:20:04 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 8005
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:20:04 +0800] "GET /OnlineChatting/img/emotion_smile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:20:04 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:20:09 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 8066
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:20:09 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:27:46 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:27:46 +0800] "GET /OnlineChatting/js/my.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:27:46 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:27:46 +0800] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:27:55 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:27:55 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:27:59 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:27:59 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:04 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 6221
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:04 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:15 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:26 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 6282
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:26 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:31 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 6811
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:31 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:46 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 7340
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:46 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:55 +0800] "GET /OnlineChatting/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:55 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:28:55 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
